#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Edna Bay,Southeast,18,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,3782.9599988189,24744.0579624558,18,1061.7320736755,7693.7106788078,0.3109316463
Eek,Lower Yukon-Kuskokwim,91,0,0,0,0,37,787.6618918919,0.1449418384,18,755.5555555556,0.3090104872,0.0882879764,1200.7164795775,9534.7733513689,55600.8213867308,73,2575.3109744091,18661.6737276019,0.3356366554
Egegik,Bristol Bay,29,1,975.2,0.0734208368,71.6,7,1004.4285714286,0.1364969949,0,0,0.2334826601,0,0,3910.4414832581,24036.967269986,28,896.3029211361,6494.9487038849,0.2702066626
Ekwok,Bristol Bay,37,6,1356,0.0676683874,550.55,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,5855.6583028051,36946.6543681528,31,1238.6507985508,8975.7304242814,0.2429375698
Elfin Cove,Southeast,13,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,2732.1377769248,17870.7085284403,13,766.8064976545,5556.5688235834,0.3109316463
Elim,Bering Straits,89,4,1068.5,0.0812552666,347.285009336,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,16296.7284326992,104897.017628255,85,5201.5555319609,37692.4313910211,0.3593279603
Emmonak,Lower Yukon-Kuskokwim,185,1,1107,0.0709394761,78.53,39,768.641025641,0.2032564178,8,748,0.3336983204,0.1128020966,675.0077462852,28250.2327227716,177283.570454867,176,9175.6009293709,66489.8618070356,0.3750480749
Evansville,Yukon-Koyukuk/Upper Tanana,12,0,0,0,0,1,1121.8146232877,0.2465402206,1,672,0.3264046098,0.0871130952,58.54,3100.8366721197,20690.7005226063,11,993.0196581685,7195.7946244095,0.3477791685
Excursion Inlet,Southeast,6,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,1260.986666273,8248.0193208186,6,353.9106912252,2564.5702262693,0.3109316463
False Pass,Aleutians,15,0,0,0,0,4,1058,0.1203594636,4,1058,0.3206591027,0.1253144797,530.3308780256,1931.0743149038,11769.3790935056,11,449.1611335816,3254.7908230552,0.276547369
